ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,1,2025-03-16 15:17:00,1,20,44,109,36,1,True,True
2,2,2,2023-10-18 04:07:00,1,2,42,89,40,2,True,True
3,3,1,2024-01-13 05:07:00,1,14,2,85,16,4,True,False
4,4,2,2024-09-21 15:57:00,1,9,50,78,35,7,True,False
5,5,2,2024-10-30 05:06:00,1,20,30,137,15,8,True,False
6,7,2,2024-03-22 03:10:00,3,11,8,1,16,10,True,True
7,8,1,2023-10-21 20:29:00,1,16,64,41,28,11,True,False
8,9,2,2024-10-19 17:20:00,1,18,22,47,38,12,True,False
9,10,1,2025-04-11 03:32:00,1,11,42,126,24,13,True,False
10,11,1,2025-01-13 09:38:00,1,2,12,67,29,14,True,True
11,12,1,2024-12-31 04:19:00,1,12,57,136,19,20,True,False
12,13,2,2024-02-13 08:18:00,1,10,27,10,22,22,True,False
13,14,1,2025-05-12 02:55:00,1,4,9,177,13,25,True,False
14,15,2,2025-11-02 17:56:00,1,2,23,208,36,27,True,False
15,15,2,2024-02-07 00:18:00,1,16,72,112,12,28,True,False
16,17,2,2024-10-31 21:13:00,1,10,42,187,15,31,True,True
17,18,1,2024-12-30 13:43:00,1,19,62,49,19,34,True,False
18,18,2,2025-02-14 05:37:00,1,16,51,151,5,35,True,False
19,19,2,2025-02-09 20:50:00,1,5,56,68,22,37,True,False
20,20,1,2025-12-26 19:35:00,1,4,44,123,15,40,True,False
21,20,1,2023-07-14 22:05:00,1,11,70,153,27,41,True,False
22,21,2,2025-11-19 16:19:00,1,13,59,150,24,44,True,True
23,22,2,2026-07-24 22:36:00,1,16,45,194,34,47,True,False
24,23,1,2023-10-21 02:28:00,1,2,75,119,35,49,True,False
25,23,1,2026-05-31 14:57:00,1,18,11,119,1,50,True,False
26,24,1,2024-06-28 06:27:00,3,11,64,195,11,54,True,True
27,24,1,2024-03-05 16:32:00,1,7,44,193,28,53,True,False
28,26,1,2024-07-17 10:36:00,1,16,2,211,2,56,True,False
29,28,2,2023-10-30 17:55:00,1,12,55,109,38,60,True,False
30,29,1,2025-08-09 23:00:00,1,11,41,50,9,62,True,True
31,33,1,2024-05-24 17:08:00,1,3,74,122,20,69,True,False
32,33,1,2025-05-23 01:36:00,3,4,8,177,34,71,True,False
33,34,2,2024-11-02 01:56:00,1,2,18,77,14,72,True,True
34,34,2,2024-02-26 12:48:00,1,11,52,36,29,72,True,False
35,35,2,2026-03-09 07:13:00,1,20,46,62,40,76,True,False
36,37,1,2025-01-21 20:18:00,1,14,58,171,16,84,True,False
37,38,2,2026-03-09 05:22:00,1,8,45,203,8,88,True,False
38,39,1,2023-10-02 16:58:00,1,20,31,121,32,89,True,False
39,40,2,2025-02-13 13:00:00,5,20,44,64,19,90,True,False
40,41,2,2023-05-21 22:43:00,1,9,53,20,3,91,True,False
41,41,2,2026-01-01 20:58:00,3,7,39,105,17,92,True,False
