OccuranceTimeID,CaseMasterID,Location
1,1,"Near Cantonment area, Bengaluru City"
2,2,"Near Old Town area, Mandya"
3,3,"Near Traffic area, Vijayapura"
4,4,"Near Cantonment area, Udupi"
5,5,"Near Harbour area, Davanagere"
6,6,"Near Cyber Crime area, Mandya"
7,7,"Near Market area, Bengaluru Rural"
8,8,"Near Railway area, Bidar"
9,9,"Near Industrial Area area, Kalaburagi"
10,10,"Near New Extension area, Shivamogga"
11,11,"Near Market area, Davanagere"
12,12,"Near South area, Vijayapura"
13,13,"Near Old Town area, Mysuru"
14,14,"Near Market area, Udupi"
15,15,"Near Cyber Crime area, Bidar"
16,16,"Near Highway area, Chikkamagaluru"
17,17,"Near New Extension area, Raichur"
18,18,"Near North area, Vijayapura"
19,19,"Near Lake View area, Kalaburagi"
20,20,"Near Cantonment area, Bidar"
21,21,"Near South area, Davanagere"
22,22,"Near Highway area, Chikkamagaluru"
23,23,"Near East area, Chikkamagaluru"
24,24,"Near Industrial Area area, Kalaburagi"
25,25,"Near Cyber Crime area, Udupi"
26,26,"Near Cantonment area, Raichur"
27,27,"Near Old Town area, Ballari"
28,28,"Near West area, Bengaluru City"
29,29,"Near Women area, Mandya"
30,30,"Near New Extension area, Raichur"
31,31,"Near Industrial Area area, Bengaluru City"
32,32,"Near Lake View area, Chitradurga"
33,33,"Near Cantonment area, Ballari"
34,34,"Near East area, Chikkamagaluru"
35,35,"Near Harbour area, Bidar"
36,36,"Near North area, Vijayapura"
37,37,"Near Cantonment area, Ballari"
38,38,"Near Cyber Crime area, Chitradurga"
39,39,"Near Old Town area, Bidar"
40,40,"Near Rural area, Davanagere"
41,41,"Near City area, Shivamogga"
42,42,"Near Old Town area, Bengaluru Rural"
43,43,"Near New Extension area, Bengaluru Rural"
44,44,"Near Harbour area, Mangaluru (D.K.)"
45,45,"Near Highway area, Vijayapura"
46,46,"Near Railway area, Hassan"
47,47,"Near East area, Bengaluru City"
48,48,"Near Rural area, Hassan"
49,49,"Near North area, Vijayapura"
50,50,"Near East area, Chitradurga"
51,51,"Near North area, Kolar"
52,52,"Near Rural area, Hassan"
53,53,"Near Women area, Ballari"
54,54,"Near Industrial Area area, Belagavi"
55,55,"Near Airport area, Tumakuru"
56,56,"Near Market area, Davanagere"
57,57,"Near City area, Ballari"
58,58,"Near Highway area, Bengaluru City"
59,59,"Near Traffic area, Chikkamagaluru"
60,60,"Near West area, Tumakuru"
61,61,"Near Highway area, Davanagere"
62,62,"Near Central area, Davanagere"
63,63,"Near Rural area, Belagavi"
64,64,"Near City area, Shivamogga"
65,65,"Near Old Town area, Bengaluru City"
66,66,"Near East area, Bidar"
67,67,"Near Central area, Shivamogga"
68,68,"Near North area, Tumakuru"
69,69,"Near South area, Mysuru"
70,70,"Near West area, Hassan"
71,71,"Near Harbour area, Vijayapura"
72,72,"Near South area, Ballari"
73,73,"Near Industrial Area area, Chitradurga"
74,74,"Near Old Town area, Kalaburagi"
75,75,"Near Traffic area, Hubballi-Dharwad"
76,76,"Near Central area, Belagavi"
77,77,"Near South area, Davanagere"
78,78,"Near Airport area, Bengaluru City"
79,79,"Near Market area, Mangaluru (D.K.)"
80,80,"Near Railway area, Davanagere"
81,81,"Near East area, Hassan"
82,82,"Near Market area, Belagavi"
83,83,"Near Highway area, Chikkamagaluru"
84,84,"Near Railway area, Mangaluru (D.K.)"
85,85,"Near New Extension area, Hubballi-Dharwad"
86,86,"Near Rural area, Raichur"
87,87,"Near New Extension area, Mandya"
88,88,"Near South area, Raichur"
89,89,"Near North area, Bidar"
90,90,"Near New Extension area, Davanagere"
91,91,"Near Cantonment area, Tumakuru"
92,92,"Near Traffic area, Vijayapura"
93,93,"Near Cyber Crime area, Bengaluru Rural"
94,94,"Near Harbour area, Mysuru"
95,95,"Near Airport area, Ballari"
96,96,"Near Old Town area, Hubballi-Dharwad"
97,97,"Near Traffic area, Mandya"
98,98,"Near Cantonment area, Davanagere"
99,99,"Near New Extension area, Tumakuru"
100,100,"Near South area, Hassan"
101,101,"Near Rural area, Chikkamagaluru"
102,102,"Near West area, Mandya"
103,103,"Near East area, Bidar"
104,104,"Near Central area, Chikkamagaluru"
105,105,"Near Women area, Kalaburagi"
106,106,"Near South area, Hassan"
107,107,"Near Market area, Udupi"
108,108,"Near Central area, Belagavi"
109,109,"Near Traffic area, Tumakuru"
110,110,"Near Industrial Area area, Davanagere"
111,111,"Near Cyber Crime area, Mangaluru (D.K.)"
112,112,"Near Cyber Crime area, Vijayapura"
113,113,"Near Central area, Mangaluru (D.K.)"
114,114,"Near Cyber Crime area, Bengaluru City"
115,115,"Near Lake View area, Vijayapura"
116,116,"Near Lake View area, Hubballi-Dharwad"
117,117,"Near Lake View area, Hassan"
118,118,"Near Railway area, Mangaluru (D.K.)"
119,119,"Near City area, Kolar"
120,120,"Near Harbour area, Bengaluru Rural"
121,121,"Near Cyber Crime area, Kolar"
122,122,"Near South area, Mysuru"
123,123,"Near Harbour area, Chikkamagaluru"
124,124,"Near South area, Bengaluru City"
125,125,"Near South area, Chitradurga"
126,126,"Near Harbour area, Tumakuru"
127,127,"Near Traffic area, Chikkamagaluru"
128,128,"Near Industrial Area area, Bengaluru Rural"
129,129,"Near Cantonment area, Tumakuru"
130,130,"Near Rural area, Tumakuru"
131,131,"Near Harbour area, Kolar"
132,132,"Near Highway area, Belagavi"
133,133,"Near West area, Chikkamagaluru"
134,134,"Near Women area, Ballari"
135,135,"Near Central area, Mangaluru (D.K.)"
136,136,"Near North area, Vijayapura"
137,137,"Near South area, Raichur"
138,138,"Near Highway area, Raichur"
139,139,"Near Rural area, Shivamogga"
140,140,"Near Lake View area, Davanagere"
141,141,"Near Traffic area, Shivamogga"
142,142,"Near West area, Bengaluru Rural"
143,143,"Near West area, Davanagere"
144,144,"Near Harbour area, Ballari"
145,145,"Near Railway area, Shivamogga"
146,146,"Near New Extension area, Bengaluru Rural"
147,147,"Near West area, Bidar"
148,148,"Near East area, Ballari"
149,149,"Near Central area, Ballari"
150,150,"Near Market area, Belagavi"
151,151,"Near Industrial Area area, Davanagere"
152,152,"Near New Extension area, Hassan"
153,153,"Near Railway area, Hassan"
154,154,"Near East area, Chitradurga"
155,155,"Near Harbour area, Mysuru"
156,156,"Near Central area, Tumakuru"
157,157,"Near Cantonment area, Kolar"
158,158,"Near City area, Shivamogga"
159,159,"Near Market area, Kalaburagi"
160,160,"Near Traffic area, Raichur"
161,161,"Near North area, Shivamogga"
162,162,"Near South area, Chikkamagaluru"
163,163,"Near Harbour area, Davanagere"
164,164,"Near South area, Mysuru"
165,165,"Near Rural area, Mangaluru (D.K.)"
166,166,"Near Airport area, Mandya"
167,167,"Near Industrial Area area, Hubballi-Dharwad"
168,168,"Near Central area, Tumakuru"
169,169,"Near City area, Chikkamagaluru"
170,170,"Near West area, Kolar"
171,171,"Near Central area, Hassan"
172,172,"Near Harbour area, Belagavi"
173,173,"Near Railway area, Tumakuru"
174,174,"Near Traffic area, Hassan"
175,175,"Near North area, Mangaluru (D.K.)"
176,176,"Near Lake View area, Hubballi-Dharwad"
177,177,"Near Cyber Crime area, Belagavi"
178,178,"Near Harbour area, Mysuru"
179,179,"Near Rural area, Raichur"
180,180,"Near Industrial Area area, Ballari"
181,181,"Near Harbour area, Belagavi"
182,182,"Near East area, Hubballi-Dharwad"
183,183,"Near Airport area, Bidar"
184,184,"Near South area, Udupi"
185,185,"Near Airport area, Mysuru"
186,186,"Near Old Town area, Hassan"
187,187,"Near North area, Hassan"
188,188,"Near Cyber Crime area, Mandya"
189,189,"Near Central area, Bengaluru City"
190,190,"Near New Extension area, Belagavi"
191,191,"Near Airport area, Raichur"
192,192,"Near Women area, Mandya"
193,193,"Near City area, Hassan"
194,194,"Near Cantonment area, Davanagere"
195,195,"Near Harbour area, Chitradurga"
196,196,"Near Traffic area, Davanagere"
197,197,"Near North area, Bengaluru Rural"
198,198,"Near Market area, Vijayapura"
199,199,"Near Old Town area, Bengaluru Rural"
200,200,"Near City area, Mangaluru (D.K.)"
201,201,"Near City area, Belagavi"
202,202,"Near Railway area, Raichur"
203,203,"Near South area, Bidar"
204,204,"Near Industrial Area area, Bidar"
