JunctionID,ArrestSurrenderID,AccusedMasterID
1,1,1
2,2,2
3,3,4
4,4,7
5,5,8
6,6,10
7,7,11
8,8,12
9,9,13
10,10,17
11,10,14
12,11,20
13,11,18
14,12,24
15,13,25
16,13,26
17,14,27
18,14,28
19,15,28
20,16,33
21,16,31
22,17,34
23,18,35
24,19,37
25,19,38
26,20,41
27,20,43
28,21,41
29,22,44
30,23,46
31,23,45
32,24,50
33,25,51
34,26,54
35,27,54
36,28,56
37,29,60
38,30,62
39,31,70
40,32,71
41,33,72
42,33,73
43,34,72
44,34,73
45,35,74
46,36,83
47,37,87
48,38,89
49,39,90
50,40,92
51,40,91
52,41,91
53,41,92
54,42,94
55,42,93
56,43,95
57,44,98
58,45,96
59,45,97
60,46,102
61,47,105
62,48,104
63,49,106
64,49,107
65,50,110
66,51,112
67,52,116
68,53,117
69,54,120
70,55,123
71,55,122
72,56,125
73,56,124
74,57,129
75,58,131
76,59,132
77,60,133
78,61,134
79,62,140
80,63,141
81,64,145
82,65,146
83,66,148
84,67,156
85,67,155
86,68,158
87,69,160
88,70,162
89,71,164
90,72,167
91,73,168
92,74,174
93,74,171
94,75,171
95,75,172
96,76,190
97,77,189
98,78,192
99,79,193
100,79,194
101,80,198
102,80,197
103,81,202
104,82,204
105,83,205
106,84,208
107,84,209
108,85,210
109,86,211
110,87,212
111,88,214
112,89,216
113,90,218
114,91,220
115,92,223
116,93,224
117,94,225
118,95,232
119,96,233
120,97,237
121,97,236
122,98,236
123,99,239
124,100,238
125,100,239
126,101,241
127,102,240
128,102,241
129,103,242
130,104,245
131,104,244
132,105,245
133,106,249
134,107,253
135,107,255
136,108,258
137,109,268
138,110,270
139,110,271
140,111,271
141,112,272
142,112,274
143,113,275
144,114,278
145,115,278
146,116,279
147,117,280
148,118,283
149,119,286
150,120,288
151,121,293
152,122,294
153,123,297
154,124,304
155,125,307
156,126,310
157,126,309
158,127,313
159,128,314
160,128,316
161,129,317
162,130,318
163,131,321
164,131,320
165,132,323
166,133,325
167,134,328
168,135,329
169,136,331
170,137,332
171,138,333
172,139,335
173,140,335
174,141,338
175,142,341
176,143,346
177,143,344
178,144,348
179,145,351
180,146,354
181,146,355
182,147,357
183,148,358
184,149,361
185,150,362
186,151,363
187,152,364
188,153,366
189,154,367
190,155,369
191,156,370
192,157,372
193,158,373
194,159,377
195,160,378
196,161,380
197,162,379
198,163,381
199,164,385
200,165,391
201,166,391
202,166,390
203,167,396
204,167,397
205,168,396
206,168,397
207,169,398
208,170,400
209,171,400
210,172,401
211,172,402
212,173,403
213,174,405
214,174,404
215,175,406
216,176,410
217,176,408
218,177,411
219,178,413
220,179,418
221,180,420
222,181,422
223,182,424
224,183,423
225,184,429
226,184,432
227,185,430
228,186,433
229,187,436
230,188,437
231,189,439
232,190,444
233,191,444
234,192,446
235,193,448
236,193,446
237,194,449
238,195,450
239,196,451
240,197,453
241,198,452
242,199,456
243,199,455
244,200,457
245,200,458
246,201,458
247,201,457
248,202,461
249,203,460
250,203,459
251,204,462
252,205,466
253,205,465
254,206,470
255,207,472
256,208,471
257,209,473
258,210,476
259,211,477
260,211,478
261,212,477
262,212,478
263,213,479
264,214,480
265,215,483
266,216,485
267,217,487
268,217,486
269,218,488
270,219,488
271,220,491
272,221,493
273,222,498
274,223,499
275,224,501
276,225,503
277,226,504
278,227,505
279,228,509
280,229,510
281,230,512
282,231,516
283,232,515
284,233,518
285,234,522
286,235,526
287,236,528
288,237,528
289,237,529
290,238,530
291,239,531
292,239,532
293,240,535
294,241,535
295,242,537
296,243,538
297,244,540
298,245,545
299,246,547
300,247,551
301,248,554
302,249,555
303,250,557
304,251,559
305,251,560
306,252,564
307,253,565
308,254,566
309,254,567
310,255,570
311,255,569
312,256,571
313,256,572
314,257,575
315,258,579
316,259,581
317,260,582
318,260,583
319,261,585
320,262,587
321,262,586
322,263,590
323,263,592
324,264,590
325,264,591
326,265,593
327,266,594
328,266,595
329,267,594
330,268,597
331,269,598
332,270,601
333,271,603
334,271,605
335,272,606
336,273,610
337,273,611
338,274,612
339,275,615
340,276,617
341,277,618
342,278,619
343,278,618
344,279,620
345,280,622
346,281,625
347,282,626
348,283,627
349,284,629
350,285,632
351,286,634
352,287,637
353,288,638
354,289,640
355,290,642
356,291,643
357,292,648
358,293,652
359,294,653
360,294,654
361,295,655
362,296,657
363,297,658
364,298,664
365,299,664
366,300,667
367,301,673
368,302,676
369,303,679
370,303,682
371,304,681
372,305,684
373,306,688
374,307,687
375,308,695
376,309,697
377,310,703
378,311,707
379,311,706
380,312,708
381,312,709
382,313,710
383,314,712
384,315,714
385,316,715
386,317,716
387,318,718
388,319,722
389,320,723
390,321,725
391,322,728
392,322,727
393,323,726
394,324,732
395,324,733
396,325,734
397,326,736
398,327,737
399,327,738
400,328,741
401,329,742
402,330,748
403,330,747
404,331,746
405,332,750
406,333,751
407,334,752
408,335,752
409,336,762
410,336,760
411,337,761
412,337,762
413,338,763
414,339,765
415,340,769
416,340,766
417,341,770
